#HEIGHT SPEED DIRECTION
122.275536 8.423796 234.467621
340.063904 8.729760 234.532150
562.613159 8.712384 233.892853
789.880920 8.661184 234.111420
1022.249756 8.328228 234.588287
1504.211304 7.451348 235.420807
2011.693970 5.372654 226.035645
2548.675781 3.101096 205.336060
3118.927002 2.131421 172.587891
3726.479248 2.137106 149.107361
4376.076660 2.383271 140.114655
5073.202148 2.512374 134.880920
5824.978027 2.417321 132.298767
6640.571777 2.592291 128.431274
7532.526367 3.507014 120.480896
8517.791016 5.675207 114.674835
9620.990234 9.544658 111.803711
10878.914062 13.961637 107.633179
12347.810547 17.887371 106.520233
14131.033203 20.513426 107.632202
16491.091797 14.719958 102.949615
18557.347656 5.247375 97.045288
20563.337891 4.161614 257.504822
23699.896484 11.022245 266.357239
26289.373047 11.139423 268.969452
30862.957031 9.422578 268.481201
35664.839844 6.222661 271.838348
48014.867188 13.996173 263.244507
