#HEIGHT SPEED DIRECTION
89.164345 3.889569 262.728271
312.545563 8.099903 260.739044
541.925964 10.087397 255.816772
775.581299 11.243173 249.188843
1013.925598 12.228083 242.630280
1257.441040 13.086273 237.460449
1506.730835 13.119074 234.204605
1762.701538 11.645844 231.859146
2025.688477 9.954320 228.186142
2295.829590 8.799532 224.663910
2573.149414 8.345554 225.321671
3150.690918 8.375525 237.875732
3762.734375 9.382668 256.826111
4415.220215 10.517019 271.002014
5115.662598 7.164897 306.016693
5871.937012 5.341126 340.597870
6691.521973 3.789980 9.881775
7587.739258 6.014358 64.265961
8573.999023 11.358085 72.776276
9681.743164 12.461085 66.192505
10949.695312 24.663252 104.920593
11662.692383 24.690233 90.212341
12435.772461 24.728813 64.743958
13287.381836 26.957750 45.982788
14239.270508 20.390329 60.845703
15318.179688 18.387911 70.973846
16591.017578 11.834208 52.626526
18609.554688 2.599163 205.776993
20602.974609 3.337786 259.069122
23798.048828 13.767830 259.296326
26438.912109 16.173014 267.915131
31092.673828 6.885519 265.123383
33565.785156 10.164982 207.124786
35950.171875 10.761184 261.604370
39741.531250 11.309370 285.156433
42832.296875 12.074501 216.802719
48268.519531 17.387297 128.382111
