#HEIGHT SPEED DIRECTION
133.286026 1.041340 275.027954
349.184570 1.116612 275.487549
571.041870 1.030811 265.561340
798.163330 1.097883 269.850647
1030.936646 1.315038 275.835907
1269.753174 1.582967 278.395935
1515.329102 1.390705 267.701111
1767.153198 1.432362 263.846558
2025.619385 1.765974 265.594269
2291.387939 2.798736 273.029480
2564.856445 3.010539 271.519073
3136.257568 1.398700 236.355331
3743.224121 3.316759 136.657349
4390.482910 9.008353 122.227905
5084.250000 12.088052 112.776947
5833.747559 14.398868 95.439423
6647.822754 17.649040 82.398315
7536.554199 21.664087 78.441803
8514.088867 24.578457 82.043091
9611.160156 30.740389 95.832520
10875.515625 49.855373 92.785980
11588.115234 52.563416 88.378113
12361.888672 51.896770 82.853546
13210.896484 51.496323 82.224396
14153.535156 50.254169 90.969391
15226.737305 43.244453 95.225281
16516.414062 23.769445 98.282166
18602.669922 11.127526 92.510864
20652.296875 4.374249 277.506958
23869.613281 5.006983 244.868835
26525.498047 9.386106 260.244537
31183.390625 12.677444 291.117950
33641.226562 9.649486 254.993134
36045.066406 8.632486 297.992432
39790.125000 7.183166 219.737930
42848.441406 13.685326 307.674805
48181.500000 12.956366 297.139130
