#HEIGHT SPEED DIRECTION
128.937302 4.733318 266.691864
347.759857 4.882983 266.856659
571.960571 4.696116 269.579498
801.352905 4.138671 274.745148
1036.453003 3.427129 279.198730
1524.212891 2.128810 294.558228
2036.736450 1.289827 349.970886
2577.158936 2.243220 33.205505
3148.756592 3.589458 50.620880
3755.652100 5.011836 58.082184
4402.731445 6.241586 62.610291
5096.178711 7.357243 67.393555
5844.087891 8.302823 73.213165
6657.234375 9.524106 76.772369
7548.124023 11.334500 76.490112
8533.579102 13.664936 74.518250
9637.003906 16.073048 72.767029
10892.612305 18.682356 75.457245
12355.580078 22.557491 80.995819
14131.254883 24.789801 84.036072
16502.265625 18.136835 84.759491
18590.742188 5.715882 64.066101
20595.785156 5.064050 269.995544
23723.642578 10.264628 273.018738
26315.003906 9.580636 278.578217
30935.816406 11.868270 288.163452
35798.324219 15.917311 290.596313
48187.261719 29.016903 273.025940
