Easting,Northing,Observations
519877,1378201,35.9362913590579
520715,1378964,68.75067101055085
520742,1379432,91.95345069791074
520892,1381127,95.58996323639299
520990,1380130,89.17460621095735
521505,1378499,156.9132289207042
521537,1376665,51.117015871118156
521642,1379304,98.11722509489792
521747,1377510,143.19054009624293
521894,1380712,97.63121319903159
521902,1382109,40.74495023462953
522118,1379921,89.79212720805809
522302,1377932,81.60425620946289
522453,1381550,84.46314971455898
522536,1378550,209.87708999611442
522559,1376999,7.118644827689272
522646,1380659,164.98674417909555
522674,1379481,189.75
522806,1377761,84.0057267537436
523174,1379228,143.12192665212064
523387,1382182,110.3647248707296
523595,1379462,174.94
523722,1381349,157.86238156439606
523856,1377173,21.819075230893382
523894,1377922,136.1233553516454
523973,1380489,87.57
523983,1378749,140.70330274680933
524400,1382378,157.770896972233
524433,1381454,80.41
524505,1380950,171.98
524516,1379866,105.25
524591,1377489,61.42046806348447
524826,1378577,162.68819380099828
525477,1380291,311.62
525544,1381476,121.42
525564,1377877,187.69207639656872
525759,1378887,128.77599904354844
525760,1382320,87.4592701078997
525983,1379744,452.74
526028,1380972,207.68
526109,1380543,362.99
526416,1382894,117.66
526524,1381709,112.1
526617,1379772,366.9732881011447
526664,1378620,188.04657919120064
526774,1381087,324.22
526823,1381601,149.18
526899,1379123,183.66103655438323
527021,1381806,309.3894551214992
527137,1380167,388.42642496338584
527524,1380945,421.7897121678572
527536,1383362,321.4539857130048
527796,1382127,477.8354604417611
527927,1379208,248.36351436171802
528142,1381657,277.94
528159,1380191,525.939202558508
528574,1379238,123.33838359685566
528622,1380874,819.3245718384793
528675,1382740,239.71822040230742
528763,1384430,66.68654989987147
528975,1383175,219.26569626685
529139,1380417,475.6684191648982
529451,1381172,856.9876348746151
529666,1383245,302.7
530232,1382772,269.34
530293,1381534,1070.592722001375
530418,1383102,430.71517769076723
530429,1379430,196.13724781062257
530518,1380992,354.63430373315003
530597,1380732,141.89
531058,1380228,55.93139253369997
531201,1381246,164.32
531371,1382795,656.8
